"username_1","username_2","timestamp_s"
"Oliver_Krischer","Die_Gruenen",1630269617
"Marc_Urbatsch","Die_Gruenen",1630260646
"HansJosefBracht","Die_Gruenen",1630265070
"topac_fatos","Die_Gruenen",1630265393
"topac_fatos","Die_Gruenen",1630270937
"EckGre5","Die_Gruenen",1630260381
"jenny_jasberg","Die_Gruenen",1630263750
"platz13","Die_Gruenen",1630267792
"platz13","Die_Gruenen",1630269509
"platz13","Die_Gruenen",1630263608
"platz13","Die_Gruenen",1630261402
"platz13","Die_Gruenen",1630262669
"platz13","Die_Gruenen",1630262673
"fegebanks","Die_Gruenen",1630270673
"platz13","Die_Gruenen",1630262505
"stefanziller","Die_Gruenen",1630261002
"stefanziller","Die_Gruenen",1630272397
"stefanziller","Die_Gruenen",1630271150
"stefanziller","Die_Gruenen",1630260827
"stefanziller","Die_Gruenen",1630271050
"stefanziller","Die_Gruenen",1630272307
"matthi_bolte","Die_Gruenen",1630271086
"stefanziller","Die_Gruenen",1630272369
"JBrandenburgFDP","Die_Gruenen",1630265514
"GrueneBeate","Die_Gruenen",1630274679
"ebner_sha","Die_Gruenen",1630269089
"ebner_sha","Die_Gruenen",1630265791
"ebner_sha","Die_Gruenen",1630265795
"ebner_sha","Die_Gruenen",1630265820
"carina_konrad","Die_Gruenen",1630265584
"mjoukov","Die_Gruenen",1630269345
"ebner_sha","Die_Gruenen",1630266043
"KayaKinkel","Die_Gruenen",1630268199
"sixtus","Die_Gruenen",1630274897
"KayaKinkel","Die_Gruenen",1630264621
"mjoukov","Die_Gruenen",1630265447
"DJanecek","Die_Gruenen",1630261547
"DJanecek","Die_Gruenen",1630262523
"katdro","Die_Gruenen",1630261288
"Mary_Blumenthal","Die_Gruenen",1630261637
"BeateWaRo","Die_Gruenen",1630269220
"christophploss","Die_Gruenen",1630264256
"WolfMalca","Die_Gruenen",1630263025
"WolfMalca","Die_Gruenen",1630263333
"bhoffmann_mdb","Die_Gruenen",1630267845
"AnnaGallinaHH","Die_Gruenen",1630262244
"fdp","Die_Gruenen",1630264131
"johannes_remmel","Die_Gruenen",1630254925
"MJatbottle","Die_Gruenen",1630270753
"MJatbottle","Die_Gruenen",1630271934
"AnnaGallinaHH","Die_Gruenen",1630263867
"ChMelcher","Die_Gruenen",1630269305
"ChMelcher","Die_Gruenen",1630268007
"g_reichenbach","jensbest",1630265488
"hbde","Yannick_Haan",1630266255
"MarieluiseBeck","derfreitag",1630254111
"lisapaus","campact",1630264359
"julia_verlinden","campact",1630266140
"StefRemlinger","campact",1630270623
"bhoffmann_mdb","campact",1630267731
"peter_simone","campact",1630266537
"ebner_sha","campact",1630264432
"NEUMEdIER","campact",1630270887
"ebner_sha","campact",1630269068
"ebner_sha","campact",1630263735
"RenateKuenast","campact",1630264169
"zeuxis_cs","campact",1630267417
"thoolb1","FabioDeMasi",1630279761
"moesl_roland","gri_mm",1630264764
"peter_simone","gri_mm",1630257054
"KlausAdelt","Roter_Ritter",1630256389
"bhoffmann_mdb","ntv",1630271743
"NotkerBerlin","ntv",1630265596
"ulixes24","ntv",1630265482
"NotkerBerlin","ntv",1630265570
"NotkerBerlin","ntv",1630265586
"StefRemlinger","ntv",1630266296
"OpheliaNick","ntv",1630265465
"peter_simone","ntv",1630265323
"althusmann","ntv",1630265284
"K_SA","ntv",1630264761
"gerbsen","ntv",1630274607
"IrisSpranger","ntv",1630264520
"crueffer","ntv",1630264825
"m_rinderspacher","ntv",1630264734
"Erhard_Grundl","ntv",1630265968
"NotkerBerlin","ntv",1630265608
"micha_bloss","ntv",1630265111
"bene_lux","ntv",1630265710
"Erhard_Grundl","ntv",1630264796
"CimK13","ntv",1630264957
"bueti","ntv",1630264821
"bgv_online","maqz",1630256381
"JCrueger","maqz",1630256484
"dieLinke","tazgezwitscher",1630263588
"sis_teract","tazgezwitscher",1630270524
"KirstenTackmann","tazgezwitscher",1630264006
"BineB","tazgezwitscher",1630277825
"BineB","tazgezwitscher",1630275415
"SilkeGebel","tazgezwitscher",1630269206
"k_ronneburg","tazgezwitscher",1630264146
"schatzbln","tazgezwitscher",1630260052
"stephanpalagan","tazgezwitscher",1630265829
"mjoukov","_tillwe_",1630267762
"StriegSe","_tillwe_",1630261290
"lenazagst","_tillwe_",1630267692
"ODoeschi","_tillwe_",1630267644
"LukasKilian","_tillwe_",1630262751
"StriegSe","_tillwe_",1630266511
"ulle_schauws","teresabuecker",1630256811
"FrauAuge","teresabuecker",1630258615
"ulle_schauws","teresabuecker",1630277345
"NadineJulitz","teresabuecker",1630266788
"Thomas_Bareiss","maltehuebner",1630256392
"peter_simone","annalist",1630272902
"Tobias_Schulze","annalist",1630268573
"YpsilantiAndrea","annalist",1630272648
"hannesleitlein","annalist",1630269602
"MartinaRenner","annalist",1630264223
"fdp","johannesvogel",1630260111
"fdp","johannesvogel",1630267780
"HHirte","johannesvogel",1630267071
"LiberalMut","johannesvogel",1630259850
"moritzkoerner","johannesvogel",1630267407
"christianduerr","johannesvogel",1630267273
"fdp","johannesvogel",1630267454
"pressepfarrerin","johannesvogel",1630267855
"MarenJasper","johannesvogel",1630267815
"vonundzupan","johannesvogel",1630267440
"moritzkoerner","johannesvogel",1630267794
"fdp","johannesvogel",1630265537
"UllmannMdB","johannesvogel",1630273403
"th_sattelberger","johannesvogel",1630253780
"JBrandenburgFDP","johannesvogel",1630265452
"JBrandenburgFDP","johannesvogel",1630267629
"Linke_Watch","MatthiasHoehn",1630271069
"LuiseNeuhaus","MatthiasHoehn",1630264013
"ebner_sha","katdro",1630263798
"ulle_schauws","katdro",1630263191
"BriHasselmann","katdro",1630262793
"claasrohmeyer","WELTAMSONNTAG",1630259813
"Freddy2805","WELTAMSONNTAG",1630259489
"PatriciaPeill","WELTAMSONNTAG",1630270609
"welt","WELTAMSONNTAG",1630259535
"SteinekeCDU","WELTAMSONNTAG",1630263302
"JuliaKloeckner","WELTAMSONNTAG",1630263608
"fdp","jungeliberale",1630257417
"hannesleitlein","katjaberlin",1630266202
"ulle_schauws","katjaberlin",1630275820
"A_Schillhaneck","katjaberlin",1630266889
"KathaSchulze","katjaberlin",1630265791
"GabrieleTriebel","katjaberlin",1630266811
"hanna_unterwegs","katjaberlin",1630257770
"Konrad","Joanne13Harding",1630257551
